constraint_name,constraint_type,table_name,column_names,reference_table,reference_columns,check_expression,on_delete,on_update,enforcement_type,create_yn,description
PK_TB_SYS_USER,PK,TB_SYS_USER,USER_ID,,,,,,DATABASE,Y,사용자 기본키
PK_TB_SYS_ROLE,PK,TB_SYS_ROLE,ROLE_ID,,,,,,DATABASE,Y,역할 기본키
PK_TB_SYS_USER_ROLE_REL,PK,TB_SYS_USER_ROLE_REL,USER_ID|ROLE_ID,,,,,,DATABASE,Y,사용자역할 복합 기본키
PK_TB_SYS_MENU,PK,TB_SYS_MENU,MENU_ID,,,,,,DATABASE,Y,메뉴 기본키
PK_TB_SYS_ROLE_MENU_PERM_REL,PK,TB_SYS_ROLE_MENU_PERM_REL,ROLE_ID|MENU_ID,,,,,,DATABASE,Y,역할메뉴권한 복합 기본키
PK_TB_SYS_ORG,PK,TB_SYS_ORG,ORG_ID,,,,,,DATABASE,Y,조직 기본키
PK_TB_COM_CODE_GRP,PK,TB_COM_CODE_GRP,CD_GRP_ID,,,,,,DATABASE,Y,코드그룹 기본키
PK_TB_COM_CODE,PK,TB_COM_CODE,CD_GRP_ID|CD,,,,,,DATABASE,Y,공통코드 복합 기본키
PK_TB_SYS_CONFIG,PK,TB_SYS_CONFIG,SYS_CONFIG_ID,,,,,,DATABASE,Y,시스템설정 기본키
PK_TB_SYS_ACCESS_LOG,PK,TB_SYS_ACCESS_LOG,ACCESS_LOG_ID,,,,,,DATABASE,Y,접속로그 기본키
PK_TB_SYS_LOG,PK,TB_SYS_LOG,LOG_ID,,,,,,DATABASE,Y,시스템로그 기본키
PK_TB_SYS_NOTICE,PK,TB_SYS_NOTICE,NOTICE_ID,,,,,,DATABASE,Y,공지사항 기본키
FK_TB_SYS_USER_01,FK,TB_SYS_USER,ORG_ID,TB_SYS_ORG,ORG_ID,,RESTRICT,RESTRICT,APPLICATION,N,사용자 소속조직 애플리케이션 참조
FK_TB_SYS_USER_ROLE_REL_01,FK,TB_SYS_USER_ROLE_REL,USER_ID,TB_SYS_USER,USER_ID,,RESTRICT,RESTRICT,APPLICATION,N,사용자역할의 사용자 애플리케이션 참조
FK_TB_SYS_USER_ROLE_REL_02,FK,TB_SYS_USER_ROLE_REL,ROLE_ID,TB_SYS_ROLE,ROLE_ID,,RESTRICT,RESTRICT,APPLICATION,N,사용자역할의 역할 애플리케이션 참조
FK_TB_SYS_MENU_01,FK,TB_SYS_MENU,UP_MENU_ID,TB_SYS_MENU,MENU_ID,,RESTRICT,RESTRICT,APPLICATION,N,상위메뉴 자기참조
FK_TB_SYS_ROLE_MENU_PERM_REL_1,FK,TB_SYS_ROLE_MENU_PERM_REL,ROLE_ID,TB_SYS_ROLE,ROLE_ID,,RESTRICT,RESTRICT,APPLICATION,N,역할메뉴권한의 역할 애플리케이션 참조
FK_TB_SYS_ROLE_MENU_PERM_REL_2,FK,TB_SYS_ROLE_MENU_PERM_REL,MENU_ID,TB_SYS_MENU,MENU_ID,,RESTRICT,RESTRICT,APPLICATION,N,역할메뉴권한의 메뉴 애플리케이션 참조
FK_TB_SYS_ORG_01,FK,TB_SYS_ORG,UP_ORG_ID,TB_SYS_ORG,ORG_ID,,RESTRICT,RESTRICT,APPLICATION,N,상위조직 자기참조
FK_TB_COM_CODE_01,FK,TB_COM_CODE,CD_GRP_ID,TB_COM_CODE_GRP,CD_GRP_ID,,RESTRICT,RESTRICT,APPLICATION,N,공통코드의 코드그룹 애플리케이션 참조
FK_TB_SYS_ACCESS_LOG_01,FK,TB_SYS_ACCESS_LOG,USER_ID,TB_SYS_USER,USER_ID,,RESTRICT,RESTRICT,APPLICATION,N,접속로그의 사용자 애플리케이션 참조
FK_TB_SYS_LOG_01,FK,TB_SYS_LOG,USER_ID,TB_SYS_USER,USER_ID,,RESTRICT,RESTRICT,APPLICATION,N,시스템로그의 사용자 애플리케이션 참조
CK_TB_SYS_USER_01,CK,TB_SYS_USER,USE_YN,,,"USE_YN IN ('Y','N')",,,DATABASE,Y,사용여부 허용값 검사
CK_TB_SYS_USER_02,CK,TB_SYS_USER,PWD_INIT_REQ_YN,,,"PWD_INIT_REQ_YN IN ('Y','N')",,,DATABASE,Y,비밀번호초기화필요여부 허용값 검사
CK_TB_SYS_USER_03,CK,TB_SYS_USER,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_SYS_ROLE_01,CK,TB_SYS_ROLE,USE_YN,,,"USE_YN IN ('Y','N')",,,DATABASE,Y,사용여부 허용값 검사
CK_TB_SYS_ROLE_02,CK,TB_SYS_ROLE,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_SYS_MENU_01,CK,TB_SYS_MENU,USE_YN,,,"USE_YN IN ('Y','N')",,,DATABASE,Y,사용여부 허용값 검사
CK_TB_SYS_MENU_02,CK,TB_SYS_MENU,DEL_YN,,,"DEL_YN IN ('Y','N')",,,DATABASE,Y,삭제여부 허용값 검사
CK_TB_SYS_ROLE_MENU_PERM_REL_1,CK,TB_SYS_ROLE_MENU_PERM_REL,READ_PERM_YN,,,"READ_PERM_YN IN ('Y','N')",,,DATABASE,Y,조회권한여부 허용값 검사
